2017-01-12 14:28:06,772 [Thread-15:8728] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:28:06,778 [Thread-15:8728] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:28:09,288 [Thread-16:1816] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:09,289 [Thread-16:1816] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:28:09,301 [Thread-16:1816] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:28:10,023 [Thread-17:4156] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:10,025 [Thread-17:4156] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:28:10,029 [Thread-17:4156] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:28:18,703 [Thread-18:6012] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:18,703 [Thread-18:6012] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:28:18,713 [Thread-18:6012] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:28:39,561 [Thread-27:8636] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:39,561 [Thread-27:8636] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:28:39,565 [Thread-27:8636] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:28:42,007 [Thread-35:6752] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:42,009 [Thread-35:6752] [django.db.backends:89] [utils:execute] [DEBUG]- (0.002) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:28:42,022 [Thread-35:6752] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:28:43,671 [Thread-38:8460] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:43,671 [Thread-38:8460] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:28:43,684 [Thread-38:8460] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:28:44,948 [Thread-39:8784] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:28:44,950 [Thread-39:8784] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:28:44,960 [Thread-39:8784] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:29:07,743 [Thread-40:964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:29:07,744 [Thread-40:964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:29:07,755 [Thread-40:964] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:29:09,017 [Thread-41:8264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:29:09,019 [Thread-41:8264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:29:09,023 [Thread-41:8264] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:29:10,331 [Thread-42:2500] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:29:10,332 [Thread-42:2500] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:29:10,335 [Thread-42:2500] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:29:30,048 [Thread-44:4592] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:29:30,049 [Thread-44:4592] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
2017-01-12 14:29:30,062 [Thread-44:4592] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc` LIMIT 5; args=()
2017-01-12 14:29:31,029 [Thread-45:3156] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:29:31,029 [Thread-45:3156] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_idc`.`id`, `develop_app_idc`.`name`, `develop_app_idc`.`address` FROM `develop_app_idc`; args=()
2017-01-12 14:29:31,033 [Thread-45:3156] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SELECT `develop_app_host`.`id`, `develop_app_host`.`hostname`, `develop_app_host`.`ip`, `develop_app_host`.`idc`, `develop_app_host`.`cabinet`, `develop_app_host`.`remark` FROM `develop_app_host`; args=()
2017-01-12 14:29:32,032 [Thread-46:6720] [django.db.backends:89] [utils:execute] [DEBUG]- (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-01-12 14:29:32,032 [Thread-46:6720] [django.db.backends:89] [utils:execute] [DEBUG]- (0.000) SELECT COUNT('*') AS `__count` FROM `develop_app_idc`; args=('*',)
